["in","LEFT"]
["out_1","RIGHT"]
["out_2","RIGHT"]
("in","mode 1",1,"in",1,"transmission")
(102, 3)
1.8787498735774409e+14 6.5715566914532164e-01 -1.2584514623345098e+00
1.8800116263468012e+14 6.5714599965642495e-01 -1.0620863939554606e+00
1.8812733791161616e+14 6.5713381303257745e-01 -8.6573162785921332e-01
1.8825351318855219e+14 6.5711925028058737e-01 -6.6938745026039559e-01
1.8837968846548822e+14 6.5710247116424181e-01 -4.7305418064814414e-01
1.8850586374242425e+14 6.5708364882423553e-01 -2.7673216275651857e-01
1.8863203901936028e+14 6.5706296331422553e-01 -8.0421755865617311e-02
1.8875821429629628e+14 6.5704059430950490e-01 1.1587667305379885e-01
1.8888438957323231e+14 6.5701671331463640e-01 3.1216275593289683e-01
1.8901056485016834e+14 6.5699147574594585e-01 5.0843612863790955e-01
1.8913674012710438e+14 6.5696501328922119e-01 7.0469643428790019e-01
1.8926291540404041e+14 6.5693742693113233e-01 9.0094332484798667e-01
1.8938909068097644e+14 6.5690878103430428e-01 1.0971764611334349e+00
1.8951526595791247e+14 6.5687909877257933e-01 1.2933955114890048e+00
1.8964144123484847e+14 6.5684835916838680e-01 1.4896001495171751e+00
1.8976761651178450e+14 6.5681649588325897e-01 1.6857900513032194e+00
1.8989379178872053e+14 6.5678339781140427e-01 1.8819648926255388e+00
1.9001996706565656e+14 6.5674891142219660e-01 2.0781243466410273e+00
1.9014614234259259e+14 6.5671284469682167e-01 2.2742680824973514e+00
1.9027231761952862e+14 6.5667497241459627e-01 2.4703957652492061e+00
1.9039849289646466e+14 6.5663504247120552e-01 2.6665070573519949e+00
1.9052466817340066e+14 6.5659278285938638e-01 2.8626016218774404e+00
1.9065084345033669e+14 6.5654790891588410e-01 3.0586791274566392e+00
1.9077701872727272e+14 6.5650013043796529e-01 3.2547392548084959e+00
1.9090319400420875e+14 6.5644915829897399e-01 3.4507817045777189e+00
1.9102936928114478e+14 6.5639471024226081e-01 3.6468062060829940e+00
1.9115554455808081e+14 6.5633651560368655e-01 3.8428125264856239e+00
1.9128171983501684e+14 6.5627431879838372e-01 4.0388004798264063e+00
1.9140789511195284e+14 6.5620788150244413e-01 4.2347699353556205e+00
1.9153407038888888e+14 6.5613698355697547e-01 4.4307208246008667e+00
1.9166024566582491e+14 6.5606142271410572e-01 4.6266531466695859e+00
1.9178642094276094e+14 6.5598101342512694e-01 4.8225669713789951e+00
1.9191259621969697e+14 6.5589558493467315e-01 5.0184624399224527e+00
1.9203877149663300e+14 6.5580497898678125e-01 5.2143397629264188e+00
1.9216494677356903e+14 6.5570904746661529e-01 5.4101992159028240e+00
1.9229112205050503e+14 6.5560765029379897e-01 5.6060411322550463e+00
1.9241729732744106e+14 6.5550065385132361e-01 5.8018658941418915e+00
1.9254347260437709e+14 6.5538793017945474e-01 5.9976739216247559e+00
1.9266964788131312e+14 6.5526935709228018e-01 6.1934656606237430e+00
1.9279582315824916e+14 6.5514481928974089e-01 6.3892415702666714e+00
1.9292199843518519e+14 6.5501421044762198e-01 6.5850021102426819e+00
1.9304817371212122e+14 6.5487743617785721e-01 6.7807477287542781e+00
1.9317434898905725e+14 6.5473441766918350e-01 6.9764788516083529e+00
1.9330052426599325e+14 6.5458509574896084e-01 7.1721958729009261e+00
1.9342669954292928e+14 6.5442943505692353e-01 7.3678991476338114e+00
1.9355287481986531e+14 6.5426742799383386e-01 7.5635889864677850e+00
1.9359660086208747e+14 6.5420980700171583e-01 7.6314022146953580e+00
1.9363532405457916e+14 6.5415814589822230e-01 7.6914553810657065e+00
1.9367905009680134e+14 6.5409909810522582e-01 7.7592656526744603e+00
1.9380522537373738e+14 6.5392450258272339e-01 7.9549293612059095e+00
1.9393140065067341e+14 6.5374373361160820e-01 8.1505802796697431e+00
1.9405757592760944e+14 6.5355691836010577e-01 8.3462185308851069e+00
1.9418375120454544e+14 6.5336421748873930e-01 8.5418441966132850e+00
1.9430992648148147e+14 6.5316582215121000e-01 8.7374573220045555e+00
1.9443610175841750e+14 6.5296194955484510e-01 8.9330579202893929e+00
1.9456227703535353e+14 6.5275283724257249e-01 9.1286459772658812e+00
1.9468845231228956e+14 6.5253873634184945e-01 9.3242214551919123e+00
1.9481462758922559e+14 6.5231990409452678e-01 9.5197842957777450e+00
1.9494080286616162e+14 6.5209659602926295e-01 9.7153344220843252e+00
1.9506697814309762e+14 6.5186905816242213e-01 9.9108717392550485e+00
1.9519315342003366e+14 6.5163751961224536e-01 1.0106396134138087e+01
1.9531932869696969e+14 6.5140218598512123e-01 1.0301907473974916e+01
